Division,District/City,Total,Division,%,,,
Dholaipar,,,,,,,
,,,15,,4,,4
,6,,,,,,
Siddheshwari,14,Tallabagh,4,Tejgaon,151,Urdu Road,1
Sonir akhra,19,Taltola,4,Turag,2,Uttara,134
Swamibagh,51,TatiBazar,17,Tezturi Bazar,5,Vatara,15
Sher-E-Bangla,,Tikatoli,25,Tongi,14,Vasantek,3
Nagar,30,Tejkunipara,3,Tolarbag,19,Wari,76
Sutrapur,40,,,,,,
Siddheshwari,14,Tallabagh,4,Tejgaon,151,Urdu Road,1
Sonir akhra,19,Taltola,4,Turag,2,Uttara,134
Swamibagh,51,TatiBazar,17,Tezturi Bazar,5,Vatara,15
Sher-E-Bangla,,Tikatoli,25,Tongi,14,Vasantek,3
Nagar,30,Tejkunipara,3,Tolarbag,19,Wari,76
